Participant,Grade,Age,Age.c,Timepoint,ctopp_el_raw,ctopp_nr_raw,ctopp_sm_raw,wj_wordid_raw,wj_wordattack_raw,wj_wordid_standard,Sex
22,FG_1,6.42,1,2,10,13,19,39,13,130,1
22,FG_3,7.08,1.66,3,16,15,20,52,24,133,1
22,KG_1,5.42,0,0,7,10,19,18,4,116,1
22,KG_3,6,0.58,1,16,11,20,36,9,133,1
24,FG_1,6.33,1,2,6,8,19,46,18,141,1
24,FG_3,7,1.67,3,8,11,19,46,21,126,1
24,KG_1,5.33,0,0,7,9,18,41,17,157,1
24,KG_3,NA,0.59,1,NA,NA,NA,NA,NA,NA,1
25,FG_1,6.25,1,2,7,10,3,22,7,107,0
25,FG_3,7,1.75,3,15,12,15,31,7,105,0
25,KG_1,5.25,0,0,0,3,9,11,2,103,0
25,KG_3,6.08,0.83,1,3,6,14,16,7,102,0
27,FG_1,6.25,0.92,2,16,11,17,40,20,135,0
27,FG_3,7,1.67,3,18,12,18,52,28,135,0
27,KG_1,5.33,0,0,7,12,15,18,9,119,0
27,KG_3,5.92,0.59,1,17,9,15,43,18,145,0
28,FG_1,6.17,0.84,2,3,9,5,12,2,89,1
28,FG_3,7,1.67,3,NA,NA,NA,19,6,88,1
28,KG_1,5.33,0,0,3,4,3,6,1,91,1
28,KG_3,6,0.67,1,3,9,2,14,1,99,1
29,FG_1,6.25,0.83,2,6,11,19,21,7,107,1
29,FG_3,7.08,1.66,3,8,NA,19,44,17,124,1
29,KG_1,5.42,0,0,4,9,11,18,5,117,1
29,KG_3,6,0.58,1,5,7,18,28,5,121,1
33,FG_1,NA,1,2,NA,NA,NA,NA,NA,NA,0
33,FG_3,NA,1.67,3,NA,NA,NA,NA,NA,NA,0
33,KG_1,5.33,0,0,3,0,4,8,2,96,0
33,KG_3,5.92,0.59,1,3,6,11,20,3,110,0
37,FG_1,6.17,1,2,8,10,16,32,8,125,1
37,FG_3,6.92,1.75,3,15,8,12,41,11,123,1
37,KG_1,5.17,0,0,2,9,12,14,3,111,1
37,KG_3,5.83,0.66,1,8,10,14,27,5,123,1
38,FG_1,6.17,1,2,7,10,9,27,8,118,1
38,FG_3,6.83,1.66,3,16,6,19,48,14,117,1
38,KG_1,5.17,0,0,6,10,9,22,6,129,1
38,KG_3,5.83,0.66,1,8,8,6,24,6,118,1
39,FG_1,6.33,0.91,2,8,13,13,40,12,131,0
39,FG_3,7,1.58,3,8,11,15,32,7,129,0
39,KG_1,5.42,0,0,6,16,16,20,3,119,0
39,KG_3,6,0.58,1,7,16,9,48,22,129,0
40,FG_1,6.42,1.17,2,8,14,19,31,10,119,1
40,FG_3,7,1.75,3,8,13,19,42,18,121,1
40,KG_1,5.25,0,0,5,12,7,14,3,111,1
40,KG_3,6,0.75,1,6,16,14,26,7,118,1
42,FG_1,6.25,1.08,2,6,3,19,24,7,112,0
42,FG_3,6.83,1.66,3,16,11,20,40,17,122,0
42,KG_1,5.17,0,0,2,10,5,13,2,110,0
42,KG_3,5.92,0.75,1,8,5,13,NA,NA,NA,0
43,FG_1,6.92,1.09,2,8,11,19,36,12,114,0
43,FG_3,7.5,1.67,3,15,14,19,42,14,112,0
43,KG_1,5.83,0,0,6,12,17,22,13,116,0
43,KG_3,6.58,0.75,1,10,14,15,32,7,117,0
44,FG_1,6.08,1,2,9,11,15,32,7,127,1
44,FG_3,NA,1.75,3,NA,NA,NA,NA,NA,NA,1
