Participant,Grade,Age,ctopp_el_raw,ctopp_nr_raw,ctopp_sm_raw,wj_wordid_raw,wj_wordattack_raw,wj_wordid_standard,Sex
22,1G_1,605,10,13,19,39,13,130,1
22,1G_3,701,16,15,20,52,24,133,1
22,KG_1,505,7,10,19,18,4,116,1
22,KG_3,600,16,11,20,36,9,133,1
24,1G_1,604,6,8,19,46,18,141,1
24,1G_3,700,8,11,19,46,21,126,1
24,KG_1,504,7,9,18,41,17,157,1
24,KG_3,NA,NA,NA,NA,NA,NA,NA,1
25,1G_1,603,7,10,3,22,7,107,0
25,1G_3,700,15,12,15,31,7,105,0
25,KG_1,503,0,3,9,11,2,103,0
25,KG_3,601,3,6,14,16,7,102,0
27,1G_1,603,16,11,17,40,20,135,0
27,1G_3,700,18,12,18,52,28,135,0
27,KG_1,504,7,12,15,18,9,119,0
27,KG_3,511,17,9,15,43,18,145,0
28,1G_1,602,3,9,5,12,2,89,1
28,1G_3,700,NA,NA,NA,19,6,88,1
28,KG_1,504,3,4,3,6,1,91,1
28,KG_3,600,3,9,2,14,1,99,1
29,1G_1,603,6,11,19,21,7,107,1
29,1G_3,701,8,NA,19,44,17,124,1
29,KG_1,505,4,9,11,18,5,117,1
29,KG_3,600,5,7,18,28,5,121,1
33,1G_1,NA,NA,NA,NA,NA,NA,NA,0
33,1G_3,NA,NA,NA,NA,NA,NA,NA,0
33,KG_1,504,3,0,4,8,2,96,0
33,KG_3,511,3,6,11,20,3,110,0
37,1G_1,602,8,10,16,32,8,125,1
37,1G_3,611,15,8,12,41,11,123,1
37,KG_1,502,2,9,12,14,3,111,1
37,KG_3,510,8,10,14,27,5,123,1
38,1G_1,602,7,10,9,27,8,118,1
38,1G_3,610,16,6,19,48,14,117,1
38,KG_1,502,6,10,9,22,6,129,1
38,KG_3,510,8,8,6,24,6,118,1
39,1G_1,604,8,13,13,40,12,131,0
39,1G_3,700,8,11,15,32,7,129,0
39,KG_1,505,6,16,16,20,3,119,0
39,KG_3,600,7,16,9,48,22,129,0
40,1G_1,605,8,14,19,31,10,119,1
40,1G_3,700,8,13,19,42,18,121,1
40,KG_1,503,5,12,7,14,3,111,1
40,KG_3,600,6,16,14,26,7,118,1
42,1G_1,603,6,3,19,24,7,112,0
42,1G_3,610,16,11,20,40,17,122,0
42,KG_1,502,2,10,5,13,2,110,0
42,KG_3,511,8,5,13,NA,NA,NA,0
43,1G_1,611,8,11,19,36,12,114,0
43,1G_3,706,15,14,19,42,14,112,0
43,KG_1,510,6,12,17,22,13,116,0
43,KG_3,607,10,14,15,32,7,117,0
44,1G_1,601,9,11,15,32,7,127,1
44,1G_3,NA,NA,NA,NA,NA,NA,NA,1
44,KG_1,501,5,8,11,25,4,136,1
44,KG_3,509,6,8,18,36,8,141,1
45,1G_1,600,7,11,15,35,8,131,1
45,1G_3,610,16,10,20,47,16,132,1
45,KG_1,501,5,10,10,17,3,120,1
45,KG_3,510,6,10,16,31,7,129,1
47,1G_1,702,11,8,20,28,8,99,1
47,1G_3,710,15,8,20,42,16,108,1
47,KG_1,601,6,6,7,14,3,96,1
47,KG_3,610,7,6,19,24,6,98,1
48,1G_1,702,5,12,16,29,5,100,0
48,1G_3,710,14,12,19,36,7,97,0
48,KG_1,602,2,9,13,20,5,105,0
48,KG_3,610,6,8,19,28,8,104,0
49,1G_1,701,6,13,17,40,18,118,0
49,1G_3,708,8,13,20,50,24,120,0
49,KG_1,600,8,3,15,21,8,112,0
49,KG_3,609,7,NA,17,34,24,116,0
50,1G_1,NA,NA,NA,NA,NA,NA,NA,0
50,1G_3,711,6,10,16,35,6,95,0
50,KG_1,602,4,11,0,13,3,92,0
50,KG_3,610,6,11,15,21,7,93,0
51,1G_1,606,18,13,20,59,30,151,0
51,1G_3,608,19,15,20,59,32,148,0
51,KG_1,NA,NA,NA,NA,NA,NA,NA,0
51,KG_3,508,14,13,19,44,20,155,0
54,1G_1,702,7,11,19,37,18,112,0
54,1G_3,709,8,11,18,50,20,119,0
54,KG_1,602,5,7,8,18,5,102,0
54,KG_3,610,8,13,18,31,12,109,0
55,1G_1,510,6,9,3,18,4,108,1
55,1G_3,607,4,9,18,33,11,118,1
55,KG_1,NA,NA,NA,NA,NA,NA,NA,1
55,KG_3,506,2,8,7,17,3,114,1
58,1G_1,700,13,10,19,33,15,108,0
58,1G_3,706,15,13,20,40,21,109,0
58,KG_1,600,3,12,11,15,3,99,0
58,KG_3,608,7,15,20,34,16,118,0
61,1G_1,610,5,7,19,21,6,95,1
61,1G_3,707,8,7,17,31,4,95,1
61,KG_1,510,2,4,9,10,1,92,1
61,KG_3,606,7,NA,13,15,4,89,1
62,1G_1,701,8,15,16,32,15,106,0
62,1G_3,708,14,14,20,56,24,128,0
62,KG_1,NA,NA,NA,NA,NA,NA,NA,0
62,KG_3,607,7,16,17,22,8,100,0
64,1G_1,602,0,9,1,16,1,98,0
64,1G_3,611,6,18,8,35,12,114,0
64,KG_1,501,0,2,1,4,0,87,0
64,KG_3,509,0,8,4,7,0,87,0
65,1G_1,701,20,12,20,50,19,130,0
65,1G_3,708,19,12,18,54,22,126,0
65,KG_1,600,12,9,16,26,3,120,0
65,KG_3,609,18,14,16,47,16,134,0
66,1G_1,601,6,5,10,20,8,108,1
66,1G_3,610,6,5,8,25,6,101,1
66,KG_1,501,2,6,1,9,2,119,1
66,KG_3,510,3,7,10,20,4,112,1
68,1G_1,600,5,11,8,22,5,113,1
68,1G_3,610,7,8,18,42,19,126,1
68,KG_1,503,2,0,3,16,2,114,1
68,KG_3,510,6,12,13,22,4,117,1
72,1G_1,700,15,NA,20,32,8,108,0
72,1G_3,706,17,12,19,40,14,109,0
72,KG_1,510,7,13,16,21,4,113,0
72,KG_3,608,13,14,20,30,5,111,0
73,1G_1,702,8,8,16,34,10,108,1
73,1G_3,NA,NA,NA,NA,NA,NA,NA,1
73,KG_1,602,2,3,4,13,3,91,1
73,KG_3,608,4,NA,10,18,3,93,1
74,1G_1,600,6,10,18,28,6,123,1
74,1G_3,609,8,8,18,33,8,115,1
74,KG_1,411,2,2,10,15,2,118,1
74,KG_3,507,7,12,15,25,4,127,1
75,1G_1,610,12,10,19,32,13,110,0
75,1G_3,708,16,8,20,54,29,126,0
75,KG_1,510,3,11,0,15,2,103,0
75,KG_3,607,7,9,18,27,5,108,0
77,1G_1,610,4,5,10,16,3,83,1
77,1G_3,707,6,5,6,26,3,87,1
77,KG_1,510,0,3,5,11,2,94,1
77,KG_3,608,7,2,10,12,2,82,1
78,1G_1,700,6,3,15,23,6,92,0
78,1G_3,709,7,7,17,33,6,95,0
78,KG_1,601,4,4,9,16,3,101,0
78,KG_3,609,3,2,9,23,4,98,0
79,1G_1,611,18,8,19,36,20,116,0
79,1G_3,707,17,8,18,50,21,122,0
79,KG_1,511,7,10,13,16,5,103,0
79,KG_3,607,16,8,18,38,11,124,0
80,1G_1,611,8,4,15,26,7,99,0
80,1G_3,705,7,NA,16,34,10,103,0
80,KG_1,509,0,3,7,15,2,105,0
80,KG_3,607,5,7,17,24,3,103,0
81,1G_1,NA,NA,NA,NA,NA,NA,NA,1
81,1G_3,707,17,10,18,43,9,113,1
81,KG_1,509,4,8,7,15,3,105,1
81,KG_3,606,8,3,13,28,7,113,1
82,1G_1,611,6,11,18,41,13,121,1
82,1G_3,707,7,12,18,42,20,112,1
82,KG_1,511,2,3,14,20,3,110,1
82,KG_3,608,7,13,16,41,16,119,1
83,1G_1,602,3,8,9,16,6,99,1
83,1G_3,609,6,7,10,29,10,107,1
83,KG_1,501,0,5,5,6,0,93,1
83,KG_3,510,2,7,5,9,1,92,1
84,1G_1,701,8,9,19,24,7,94,0
84,1G_3,709,13,7,19,37,7,101,0
84,KG_1,600,6,9,4,15,4,100,0
84,KG_3,608,7,10,17,21,3,97,0
85,1G_1,608,4,3,6,13,4,80,0
85,1G_3,704,8,5,17,29,9,95,0
85,KG_1,509,1,3,8,13,2,99,0
85,KG_3,606,7,6,16,16,3,93,0
87,1G_1,700,6,10,19,22,3,93,0
87,1G_3,707,4,10,15,27,9,87,0
87,KG_1,601,3,11,9,15,3,99,0
87,KG_3,608,6,9,18,21,6,97,0
88,1G_1,610,6,5,15,24,7,98,0
88,1G_3,706,15,6,20,39,12,109,0
88,KG_1,511,2,6,7,16,3,103,0
88,KG_3,NA,NA,NA,NA,NA,NA,NA,0
89,1G_1,604,6,2,15,25,13,111,0
89,1G_3,611,8,10,17,30,6,107,0
89,KG_1,504,3,9,10,13,2,106,0
89,KG_3,507,7,11,15,13,2,103,0
92,1G_1,700,8,12,18,40,8,118,0
92,1G_3,707,15,14,17,52,22,125,0
92,KG_1,511,5,12,18,17,3,104,0
92,KG_3,607,9,12,15,35,5,119,0
100,1G_1,702,8,10,18,27,6,97,0
100,1G_3,710,8,11,18,39,10,103,0
100,KG_1,600,3,3,12,16,3,101,0
100,KG_3,609,6,NA,19,23,6,100,0
102,1G_1,700,14,12,19,29,8,102,0
102,1G_3,708,18,9,18,37,15,101,0
102,KG_1,601,6,8,17,20,9,107,0
102,KG_3,NA,NA,NA,NA,NA,NA,NA,0
103,1G_1,609,8,9,19,37,11,119,1
103,1G_3,705,18,9,20,46,19,119,1
103,KG_1,509,4,8,12,31,13,113,1
103,KG_3,606,8,10,14,22,5,117,1
105,1G_1,700,7,6,18,29,9,102,1
105,1G_3,707,8,7,20,41,16,109,1
105,KG_1,600,7,8,10,20,4,108,1
105,KG_3,609,6,8,16,24,8,102,1
106,1G_1,601,6,8,16,27,3,118,1
106,1G_3,610,6,11,14,37,8,119,1
106,KG_1,500,1,7,13,14,3,114,1
106,KG_3,508,6,11,12,22,3,118,1
107,1G_1,700,14,11,20,35,9,113,0
107,1G_3,707,16,11,18,37,13,104,0
107,KG_1,510,6,9,14,19,8,111,0
107,KG_3,607,9,12,19,27,4,110,0
108,1G_1,610,4,8,14,22,4,96,1
108,1G_3,706,6,7,20,32,4,98,1
108,KG_1,NA,NA,NA,NA,NA,NA,NA,1
108,KG_3,607,2,7,10,24,3,105,1
109,1G_1,611,12,3,19,23,12,94,0
109,1G_3,708,13,7,20,32,15,94,0
109,KG_1,510,3,5,2,12,2,97,0
109,KG_3,608,10,NA,16,24,6,103,0
119,1G_1,NA,NA,NA,NA,NA,NA,NA,1
119,1G_3,702,7,12,19,45,17,123,1
119,KG_1,505,1,11,14,21,6,123,1
119,KG_3,602,7,9,18,32,14,125,1
125,1G_1,605,14,9,19,37,13,126,1
125,1G_3,701,16,10,20,47,21,126,1
125,KG_1,506,2,7,10,16,4,110,1
125,KG_3,602,9,10,18,30,7,123,1
127,1G_1,607,8,10,18,48,19,138,0
127,1G_3,702,14,6,20,51,25,129,0
127,KG_1,508,7,8,10,41,13,150,0
127,KG_3,602,11,5,18,43,16,139,0
