Subject,Session,Age,Time,SES,Utterances,Utterances.with.Letters,Age.KG1,WJ.KG1,Parent.input
22,1,1.24,0,0.44834,100,0,505,118,3153
22,2,1.51,0.27,0.44834,423,0,505,118,3153
22,3,1.83,0.59,0.44834,597,0,505,118,3153
22,4,2.18,0.94,0.44834,1714,0,505,118,3153
22,5,2.54,1.3,0.44834,3215,14,505,118,3153
22,6,2.86,1.62,0.44834,3141,19,505,118,3153
22,7,3.17,1.93,0.44834,2640,17,505,118,3153
22,8,3.48,2.24,0.44834,2180,18,505,118,3153
22,9,3.89,2.65,0.44834,2629,0,505,118,3153
22,10,4.2,2.96,0.44834,2469,2,505,118,3153
22,11,4.5,3.26,0.44834,2719,31,505,118,3153
22,12,4.82,3.58,0.44834,1803,0,505,118,3153
24,1,1.21,0,1.26871,56,6,504,161,4083
24,2,1.53,0.32,1.26871,161,0,504,161,4083
24,3,1.88,0.67,1.26871,309,0,504,161,4083
24,4,2.2,0.99,1.26871,661,8,504,161,4083
24,5,2.49,1.28,1.26871,2435,54,504,161,4083
24,6,2.82,1.61,1.26871,2850,45,504,161,4083
24,7,3.2,1.99,1.26871,2232,11,504,161,4083
24,8,3.49,2.28,1.26871,3159,7,504,161,4083
24,9,3.89,2.68,1.26871,3693,48,504,161,4083
24,10,4.2,2.99,1.26871,2773,1,504,161,4083
24,11,4.62,3.41,1.26871,2735,0,504,161,4083
24,12,4.92,3.71,1.26871,3102,29,504,161,4083
25,1,1.2,0,-0.02203,3,0,503,105,2259
25,2,1.49,0.29,-0.02203,17,0,503,105,2259
25,3,1.8,0.6,-0.02203,265,0,503,105,2259
25,4,2.18,0.98,-0.02203,896,0,503,105,2259
25,5,2.49,1.29,-0.02203,1588,11,503,105,2259
25,6,2.84,1.64,-0.02203,1995,0,503,105,2259
25,7,3.2,2,-0.02203,2707,2,503,105,2259
25,8,3.54,2.34,-0.02203,3966,34,503,105,2259
25,9,3.85,2.65,-0.02203,4447,21,503,105,2259
25,10,4.18,2.98,-0.02203,3594,48,503,105,2259
25,11,4.54,3.34,-0.02203,1999,0,503,105,2259
25,12,4.85,3.65,-0.02203,2885,110,503,105,2259
27,1,1.19,0,1.5039,0,0,504,135,7201
27,2,1.49,0.3,1.5039,15,0,504,135,7201
27,3,1.88,0.69,1.5039,33,0,504,135,7201
27,4,2.17,0.98,1.5039,508,1,504,135,7201
27,5,2.51,1.32,1.5039,1049,0,504,135,7201
27,6,2.82,1.63,1.5039,1459,2,504,135,7201
27,7,3.08,1.89,1.5039,1484,12,504,135,7201
27,8,3.5,2.31,1.5039,1592,75,504,135,7201
27,9,3.87,2.68,1.5039,2681,31,504,135,7201
27,10,4.17,2.98,1.5039,3492,1,504,135,7201
27,11,4.52,3.33,1.5039,2241,0,504,135,7201
27,12,4.83,3.64,1.5039,1162,17,504,135,7201
28,1,1.18,0,0.68353,17,0,504,92,4686
28,2,1.51,0.33,0.68353,92,0,504,92,4686
28,3,1.8,0.62,0.68353,292,25,504,92,4686
28,4,2.19,1.01,0.68353,698,30,504,92,4686
28,5,2.49,1.31,0.68353,1031,8,504,92,4686
28,6,2.82,1.64,0.68353,1127,0,504,92,4686
28,7,3.15,1.97,0.68353,2926,0,504,92,4686
28,8,3.51,2.33,0.68353,1909,0,504,92,4686
28,9,3.87,2.69,0.68353,2318,0,504,92,4686
28,10,4.19,3.01,0.68353,951,0,504,92,4686
28,11,4.52,3.34,0.68353,2043,0,504,92,4686
28,12,4.89,3.71,0.68353,1934,0,504,92,4686
29,1,1.22,0,0.68353,67,0,505,128,4048
29,2,1.5,0.28,0.68353,270,0,505,128,4048
29,3,1.83,0.61,0.68353,2166,0,505,128,4048
29,4,2.17,0.95,0.68353,1423,0,505,128,4048
29,5,2.5,1.28,0.68353,3114,12,505,128,4048
29,6,2.82,1.6,0.68353,2654,16,505,128,4048
29,7,3.15,1.93,0.68353,3924,35,505,128,4048
29,8,3.48,2.26,0.68353,3276,1,505,128,4048
29,9,3.84,2.62,0.68353,4440,0,505,128,4048
29,10,4.2,2.98,0.68353,3616,31,505,128,4048
29,11,4.83,3.39,0.68353,2257,7,505,128,4048
29,12,1.15,3.61,0.68353,2776,5,505,128,4048
33,1,1.46,0,-1.13778,8,0,504,102,2502
33,2,1.87,0.31,-1.13778,103,0,504,102,2502
33,3,2.14,0.72,-1.13778,514,0,504,102,2502
33,4,2.47,0.99,-1.13778,936,1,504,102,2502
33,5,2.83,1.32,-1.13778,1079,0,504,102,2502
33,6,3.18,1.68,-1.13778,1569,0,504,102,2502
33,7,3.52,2.03,-1.13778,2159,0,504,102,2502
33,8,3.84,2.37,-1.13778,1663,0,504,102,2502
33,9,4.21,2.69,-1.13778,1432,0,504,102,2502
33,10,4.55,3.06,-1.13778,1604,0,504,102,2502
33,11,4.81,3.4,-1.13778,385,0,504,102,2502
33,12,1.18,3.66,-1.13778,722,4,504,102,2502
37,1,1.53,0,-0.02203,118,0,502,118,2859
37,2,1.86,0.35,-0.02203,209,0,502,118,2859
37,3,2.14,0.68,-0.02203,390,0,502,118,2859
37,4,2.51,0.96,-0.02203,1347,0,502,118,2859
37,5,2.85,1.33,-0.02203,417,0,502,118,2859
37,6,3.19,1.67,-0.02203,1672,2,502,118,2859
37,7,3.52,2.01,-0.02203,1809,0,502,118,2859
37,8,3.88,2.34,-0.02203,1658,4,502,118,2859
37,9,4.17,2.7,-0.02203,725,0,502,118,2859
37,10,4.52,2.99,-0.02203,1521,7,502,118,2859
37,11,4.87,3.34,-0.02203,595,1,502,118,2859
37,12,1.16,3.69,-0.02203,1311,2,502,118,2859
38,1,1.49,0,0.42204,74,0,502,138,4849
38,2,1.86,0.33,0.42204,422,0,502,138,4849
38,3,2.15,0.7,0.42204,800,0,502,138,4849
38,4,2.49,0.99,0.42204,1560,0,502,138,4849
38,5,2.87,1.33,0.42204,1646,0,502,138,4849
