Subject,Session,Age,Speaker,Child.Gender,SES,Length,Utterances,Utterances.with.Letters,Letter.name,Letter.shape,Letter.sound,Spelling,Child.name,Other.name,Names,Letter.Teaching,Not.Letter.Teaching,Age.KG1,WJ.KG1,EL.KG1,SM.KG1,Age.KG3,WJ.KG3,EL.KG3,SM.KG3,KG3.PropCorr,KG3.distMean
22,1,1.24,0,1,0.44834,92,3153,2,2,0,0,1,0,0,0,0,2,505,118,13,15,600,136,16,14,0.4,1.84
22,2,1.51,0,1,0.44834,90,3825,0,0,0,0,0,0,0,0,0,0,505,118,13,15,600,136,16,14,0.4,1.84
22,3,1.83,0,1,0.44834,91.52,3752,0,0,0,0,0,0,0,0,0,0,505,118,13,15,600,136,16,14,0.4,1.84
22,4,2.18,0,1,0.44834,90,5742,0,0,0,0,0,0,0,0,0,0,505,118,13,15,600,136,16,14,0.4,1.84
22,5,2.54,0,1,0.44834,89.3,5063,7,6,1,0,0,0,0,0,0,6,505,118,13,15,600,136,16,14,0.4,1.84
22,6,2.86,0,1,0.44834,90,5264,15,14,0,0,5,0,0,0,2,12,505,118,13,15,600,136,16,14,0.4,1.84
22,7,3.17,0,1,0.44834,89.58,3834,8,8,0,0,5,0,1,1,6,2,505,118,13,15,600,136,16,14,0.4,1.84
22,8,3.48,0,1,0.44834,90,3834,16,14,0,0,3,0,0,0,0,14,505,118,13,15,600,136,16,14,0.4,1.84
22,9,3.89,0,1,0.44834,90,5148,0,0,0,0,0,0,0,0,0,0,505,118,13,15,600,136,16,14,0.4,1.84
22,10,4.2,0,1,0.44834,90,4317,4,4,0,1,3,0,0,0,0,4,505,118,13,15,600,136,16,14,0.4,1.84
22,11,4.5,0,1,0.44834,90,4565,4,4,0,0,4,0,0,0,0,4,505,118,13,15,600,136,16,14,0.4,1.84
22,12,4.82,0,1,0.44834,90,6315,0,0,0,0,0,0,0,0,0,0,505,118,13,15,600,136,16,14,0.4,1.84
24,1,1.21,0,1,1.26871,91.16,4083,17,10,0,0,0,0,0,0,10,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,2,1.53,0,1,1.26871,90,2543,0,0,0,0,0,0,0,0,0,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,3,1.88,0,1,1.26871,80,2889,0,0,0,0,0,0,0,0,0,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,4,2.2,0,1,1.26871,90,2524,5,1,0,0,0,0,0,0,1,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,5,2.49,0,1,1.26871,90.19,4447,41,36,0,4,3,0,0,0,36,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,6,2.82,0,1,1.26871,89.58,3656,22,2,2,0,14,4,3,7,1,1,504,161,13,14,NA,NA,NA,NA,NA,NA
24,7,3.2,0,1,1.26871,90,6691,9,5,0,0,8,2,0,2,3,2,504,161,13,14,NA,NA,NA,NA,NA,NA
24,8,3.49,0,1,1.26871,90,6437,19,13,6,0,0,0,0,0,0,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,9,3.89,0,1,1.26871,90,6000,53,21,30,0,16,7,1,8,21,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,10,4.2,0,1,1.26871,85,5983,9,9,0,0,3,0,0,0,0,3,504,161,13,14,NA,NA,NA,NA,NA,NA
24,11,4.62,0,1,1.26871,90,5131,0,0,0,0,0,0,0,0,0,0,504,161,13,14,NA,NA,NA,NA,NA,NA
24,12,4.92,0,1,1.26871,90,4634,38,30,1,0,18,0,0,0,25,5,504,161,13,14,NA,NA,NA,NA,NA,NA
25,1,1.2,0,0,-0.02203,79.54,2259,28,28,0,0,3,0,0,0,28,0,503,105,7,11,601,114,8,11,0,4.42
25,2,1.49,0,0,-0.02203,87.05,2448,1,1,0,0,0,0,0,0,0,1,503,105,7,11,601,114,8,11,0,4.42
